TransactionID,Date,ProductID,TransactionType,Quantity,BatchNumber,SupplierID,WarehouseLocation,ExpiryDate,UnitCost,EmployeeID,ReferencePO,ReasonCode,StockLevelAfter
T000001,2/9/2022,P01236,Sale,-35,BATCH-9345,,C07,11/1/2024,40.75,EMP003,,,986
T000002,12/18/2022,P01146,Sale,-31,BATCH-7730,,D43,3/13/2025,33.46,EMP012,,,4770
T000003,9/30/2023,P00914,Purchase,1076,BATCH-7182,SUP052,A19,7/27/2024,5.4,EMP005,PO-2022-01951,,4348
T000004,11/8/2022,P00418,Purchase,1226,BATCH-6999,SUP029,A24,3/7/2025,25.24,EMP021,PO-2022-01006,,4071
T000005,1/22/2022,P01638,Sale,-57,BATCH-4853,,C13,5/20/2024,36.16,EMP047,,,4655
T000006,12/8/2023,P01191,Purchase,1829,BATCH-7182,SUP098,D50,2/19/2025,48.05,EMP005,,,5705
T000007,10/27/2022,P01627,Sale,-98,BATCH-5455,,D02,10/15/2024,15.69,EMP005,,,1588
T000008,1/13/2022,P00978,Sale,-30,BATCH-7128,,B33,3/16/2024,5.25,EMP022,,,4073
T000009,4/23/2022,P00338,Purchase,2906,BATCH-1542,SUP033,B18,11/11/2023,24.18,EMP037,,,6836
T000010,10/17/2023,P00546,Sale,-99,BATCH-5379,,B11,11/26/2024,30.27,EMP002,,,1425
T000011,4/28/2022,P00308,Purchase,2571,BATCH-9120,SUP031,D07,7/29/2023,40.12,EMP008,PO-2022-00065,,6555
T000012,1/31/2023,P01495,Sale,-2,BATCH-2527,,D33,12/16/2023,49.09,EMP021,,,2241
T000013,5/6/2022,P00140,Transfer,9,BATCH-2057,,A32,2/7/2024,18.34,EMP043,,,1477
T000014,3/14/2022,P00472,Sale,-28,BATCH-2813,,C07,4/25/2024,42.06,EMP037,,,2450
T000015,10/19/2022,P00629,Transfer,85,BATCH-1644,,A49,9/30/2023,47.77,EMP029,,,2551
T000016,2/6/2023,P00791,Sale,-73,BATCH-8760,,D21,1/30/2024,15.48,EMP038,,,1162
T000017,1/4/2022,P00336,Sale,-80,BATCH-4596,,A02,12/11/2024,30.43,EMP045,,,1929
T000018,4/12/2023,P01368,Purchase,2059,BATCH-6763,SUP139,D42,12/2/2025,25.31,EMP032,,,5411
T000019,11/19/2022,P01784,Purchase,878,BATCH-5525,SUP018,C21,10/22/2024,31.55,EMP004,,,5199
T000020,8/25/2023,P00900,Sale,-31,BATCH-5288,,D45,4/29/2025,47.32,EMP025,,,1644
T000021,9/2/2023,P00129,Sale,-52,BATCH-3488,,D14,10/27/2025,43.48,EMP003,,,506
T000022,10/14/2023,P01341,Purchase,208,BATCH-6069,SUP016,D11,5/7/2025,47.14,EMP004,PO-2022-01115,,3322
T000023,4/23/2022,P01310,Purchase,2494,BATCH-9987,SUP096,B01,7/7/2023,24.61,EMP014,,,6253
T000024,2/3/2022,P00169,Adjustment,-13,BATCH-2396,,C36,4/11/2024,17.37,EMP026,,COUNT_ERROR,4334
