PO_ID,OrderDate,SupplierID,ProductID,OrderQuantity,UnitCost,TotalCost,ExpectedDelivery,ActualDelivery,Status
PO-2022-00001,10/21/2023,SUP119,P01899,3409,26.19,89270.82,11/21/2023,11/26/2023,Delivered
PO-2022-00002,5/24/2023,SUP068,P01532,222,48.21,10702.47,6/27/2023,7/2/2023,Delivered
PO-2022-00003,2/8/2022,SUP090,P01731,4741,40.09,190076.29,2/25/2022,2/25/2022,Delivered
PO-2022-00004,10/10/2022,SUP034,P00155,2312,26.44,61140.58,11/14/2022,,Shipped
PO-2022-00005,5/27/2023,SUP011,P00187,1945,35.63,69294.45,6/4/2023,6/13/2023,Delivered
PO-2022-00006,12/17/2023,SUP006,P00764,3500,2.98,10417.43,1/28/2024,2/1/2024,Delivered
PO-2022-00007,8/12/2023,SUP021,P01086,2029,19.94,40453.9,8/24/2023,9/2/2023,Delivered
PO-2022-00008,2/27/2022,SUP129,P00716,342,30.75,10515.41,3/9/2022,3/9/2022,Delivered
PO-2022-00009,9/9/2022,SUP148,P01346,2523,2.47,6242.57,9/27/2022,9/28/2022,Delivered
PO-2022-00010,8/28/2022,SUP149,P01146,519,34.92,18125.71,9/18/2022,9/23/2022,Delivered
PO-2022-00011,1/7/2022,SUP084,P00179,1268,11.79,14949.85,1/29/2022,1/29/2022,Delivered
PO-2022-00012,2/1/2023,SUP134,P01804,938,10.39,9743.11,3/24/2023,4/1/2023,Delivered
PO-2022-00013,9/8/2022,SUP119,P01600,3101,33.7,104499.09,10/9/2022,,Shipped
PO-2022-00014,1/1/2022,SUP046,P01709,3771,18.11,68274.41,2/6/2022,2/14/2022,Delivered
PO-2022-00015,12/1/2022,SUP078,P00137,1103,44.05,48584.89,1/16/2023,1/25/2023,Delivered
PO-2022-00016,6/16/2022,SUP094,P01434,1859,29.58,54989.33,7/8/2022,7/7/2022,Delivered
PO-2022-00017,3/8/2022,SUP057,P01338,214,6.46,1381.98,4/23/2022,4/19/2022,Delivered
PO-2022-00018,5/10/2023,SUP014,P00941,3251,37.39,121554.74,7/8/2023,7/12/2023,Delivered
PO-2022-00019,5/18/2023,SUP147,P01509,1708,27.29,46618.95,7/12/2023,7/14/2023,Delivered
PO-2022-00020,3/22/2023,SUP091,P01555,711,31.77,22591.15,4/29/2023,5/6/2023,Delivered
PO-2022-00021,9/29/2023,SUP124,P01710,1861,39.63,73757.74,10/29/2023,11/6/2023,Delivered
PO-2022-00022,5/6/2022,SUP128,P00991,3165,14.32,45330.4,5/26/2022,5/27/2022,Delivered
PO-2022-00023,1/18/2023,SUP130,P01665,2598,47.89,124410.75,2/7/2023,2/2/2023,Delivered
PO-2022-00024,4/26/2022,SUP109,P01032,1341,45.65,61215.65,6/16/2022,6/17/2022,Delivered
PO-2022-00025,10/31/2022,SUP095,P01034,4503,18.73,84349.14,11/17/2022,11/24/2022,Delivered
