SaleID,Date,ProductID,Quantity,SellingPrice,TotalAmount,CustomerType,PaymentMethod,PrescriptionID,EmployeeID,DiscountPercentage,IsInsuranceClaim
S00001,3/28/2022,P01658,76,162.03,12314.28,Online,Insurance,,EMP035,0,Yes
S00002,4/12/2022,P01123,58,22.92,1329.36,Retail,Cash,RX-3598,EMP022,0.71,No
S00003,9/19/2023,P01154,65,93.23,6059.95,Online,Insurance,,EMP021,15.86,Yes
S00004,5/29/2022,P01281,67,92.22,6178.74,Clinic,Debit Card,,EMP022,2.45,No
S00005,5/8/2023,P01221,38,43.72,1661.36,Online,Insurance,,EMP039,0,Yes
S00006,3/31/2023,P00596,98,65.65,6433.7,Online,Debit Card,,EMP041,0,No
S00007,9/30/2022,P01933,10,52.94,529.4,Wholesale,Insurance,,EMP027,0,Yes
S00008,12/14/2023,P00433,25,89.88,2247,Wholesale,Credit Card,,EMP029,0,No
S00009,10/18/2022,P01280,38,22.73,863.74,Clinic,Debit Card,,EMP041,0,No
S00010,8/26/2023,P01327,70,5.76,403.2,Wholesale,Cash,,EMP029,0,No
S00011,9/9/2022,P01412,65,122.77,7980.05,Online,Debit Card,,EMP008,14.92,No
S00012,12/21/2022,P01822,18,55.79,1004.22,Wholesale,Cash,,EMP048,5.32,No
S00013,1/13/2023,P00142,68,26.3,1788.4,Wholesale,Debit Card,,EMP045,8.87,No
S00014,6/29/2023,P00365,68,169.15,11502.2,Retail,Debit Card,RX-1789,EMP017,0,No
S00015,9/6/2023,P01807,61,54.42,3319.62,Retail,Insurance,RX-7425,EMP040,0,Yes
S00016,9/27/2022,P01839,14,118.09,1653.26,Retail,Debit Card,RX-8682,EMP041,0,No
S00017,7/17/2022,P00326,17,29.89,508.13,Online,Cash,,EMP008,0,No
S00018,4/26/2022,P00519,20,53.57,1071.4,Wholesale,Debit Card,,EMP003,0,No
S00019,12/12/2023,P01650,72,79.95,5756.4,Retail,Credit Card,,EMP016,17.86,No
S00020,10/4/2022,P01816,26,88.87,2310.62,Online,Credit Card,,EMP039,0,No
S00021,7/6/2023,P00627,79,59.07,4666.53,Wholesale,Credit Card,,EMP023,0,No
S00022,9/30/2022,P00383,7,51.18,358.26,Hospital,Credit Card,,EMP032,3.21,No
S00023,3/2/2023,P01206,88,48.13,4235.44,Hospital,Cash,,EMP040,0,No
S00024,9/21/2022,P00804,96,99.85,9585.6,Online,Credit Card,,EMP005,0,No
S00025,12/20/2022,P01471,25,158.03,3950.75,Retail,Credit Card,RX-7136,EMP019,0,No
S00026,10/12/2022,P01464,94,74.28,6982.32,Retail,Cash,,EMP016,4.37,No
S00027,6/18/2023,P00873,42,224.3,9420.6,Wholesale,Cash,,EMP004,2.27,No
S00028,5/16/2022,P01479,32,18.38,588.16,Clinic,Cash,,EMP003,0,No
S00029,5/23/2023,P00171,33,39.55,1305.15,Clinic,Insurance,,EMP047,0,Yes
S00030,1/12/2023,P00399,45,61.29,2758.05,Hospital,Cash,,EMP026,0,No
S00031,4/30/2022,P00004,81,28.19,2283.39,Hospital,Insurance,,EMP028,0,Yes
S00032,7/26/2023,P01571,17,157.27,2673.59,Clinic,Debit Card,,EMP048,17.01,No
S00033,10/16/2023,P00101,32,200.15,6404.8,Hospital,Credit Card,,EMP019,0,No
S00034,10/6/2023,P01114,71,154.42,10963.82,Wholesale,Credit Card,,EMP032,0,No
S00035,9/9/2022,P01434,58,94.32,5470.56,Wholesale,Credit Card,,EMP045,0,No
S00036,3/9/2022,P00285,33,84.29,2781.57,Hospital,Insurance,,EMP043,0,Yes
S00037,7/8/2022,P01653,99,179.6,17780.4,Retail,Insurance,RX-6432,EMP026,0,Yes
S00038,10/22/2023,P00639,51,142.43,7263.93,Hospital,Debit Card,,EMP025,4.81,No
S00039,2/20/2022,P01242,32,117.09,3746.88,Retail,Cash,RX-5352,EMP039,0,No
S00040,9/20/2022,P01357,68,140.22,9534.96,Wholesale,Debit Card,,EMP049,0,No
S00041,9/12/2023,P00643,39,137.17,5349.63,Retail,Debit Card,RX-4839,EMP048,0,No
S00042,7/8/2022,P01166,27,99.77,2693.79,Retail,Insurance,RX-8415,EMP004,16.3,Yes
S00043,1/30/2022,P01054,96,134.74,12935.04,Online,Debit Card,,EMP017,0,No
S00044,3/16/2022,P00210,97,97.3,9438.1,Hospital,Debit Card,,EMP019,2.02,No
S00045,8/24/2022,P01923,75,116.05,8703.75,Wholesale,Credit Card,,EMP047,0,No
S00046,3/24/2023,P01149,56,127.23,7124.88,Wholesale,Insurance,,EMP005,0,Yes
S00047,9/30/2022,P00917,49,41.17,2017.33,Wholesale,Cash,,EMP038,0,No
S00048,12/23/2023,P01280,40,22.73,909.2,Clinic,Debit Card,,EMP049,0,No
S00049,6/12/2023,P01751,73,18.2,1328.6,Hospital,Credit Card,,EMP034,0,No
S00050,1/8/2022,P01363,81,104.08,8430.48,Retail,Debit Card,,EMP005,0,No
S00051,11/30/2023,P00476,38,33.38,1268.44,Hospital,Credit Card,,EMP001,0,No
S00052,3/27/2023,P00999,33,46.64,1539.12,Retail,Insurance,RX-7532,EMP009,0,Yes
S00053,4/1/2023,P00849,79,38.67,3054.93,Hospital,Insurance,,EMP045,12.94,Yes
S00054,3/29/2023,P00939,46,137.58,6328.68,Retail,Credit Card,,EMP042,7,No
S00055,9/19/2023,P01094,45,29.11,1309.95,Online,Cash,,EMP006,0,No
S00056,7/9/2022,P01799,43,100.14,4306.02,Online,Insurance,,EMP032,0,Yes
S00057,6/21/2023,P01252,72,147.93,10650.96,Online,Credit Card,,EMP036,7.06,No
S00058,10/23/2022,P00584,1,180.49,180.49,Clinic,Insurance,,EMP040,0,Yes
S00059,8/26/2022,P01249,91,105,9555,Hospital,Debit Card,,EMP025,0,No
S00060,12/14/2022,P00399,95,61.29,5822.55,Hospital,Credit Card,,EMP003,6.86,No
S00061,1/3/2022,P01377,93,62.35,5798.55,Clinic,Insurance,,EMP002,0,Yes
S00062,4/5/2023,P01201,70,32.37,2265.9,Clinic,Credit Card,,EMP026,17.44,No
S00063,2/16/2023,P01126,14,226.61,3172.54,Hospital,Credit Card,,EMP035,0,No
S00064,12/8/2023,P00253,30,19.19,575.7,Clinic,Cash,,EMP017,0,No
S00065,7/5/2023,P00202,28,68.17,1908.76,Retail,Credit Card,,EMP005,0,No
S00066,8/7/2023,P00235,2,156.65,313.3,Hospital,Credit Card,,EMP023,0,No
S00067,2/3/2022,P00269,82,26.72,2191.04,Clinic,Debit Card,,EMP017,0,No
S00068,9/30/2023,P00066,90,74.9,6741,Retail,Credit Card,RX-5263,EMP022,0,No
S00069,10/11/2023,P00260,52,61.06,3175.12,Hospital,Insurance,,EMP020,6.41,Yes
S00070,5/10/2023,P00424,12,78.75,945,Online,Credit Card,,EMP006,0,No
S00071,12/2/2022,P01934,24,149.66,3591.84,Online,Debit Card,,EMP008,0,No
S00072,3/19/2022,P01293,17,25.22,428.74,Hospital,Cash,,EMP022,18.85,No
S00073,11/12/2022,P00191,34,169.95,5778.3,Clinic,Insurance,,EMP047,0,Yes
S00074,3/22/2022,P01904,2,95.03,190.06,Wholesale,Insurance,,EMP027,0,Yes
S00075,11/5/2022,P01185,86,15.15,1302.9,Hospital,Insurance,,EMP001,0,Yes
S00076,2/11/2023,P00683,38,61.4,2333.2,Online,Insurance,,EMP039,0,Yes
S00077,5/19/2022,P00568,73,25.72,1877.56,Online,Cash,,EMP046,0,No
S00078,8/25/2023,P01528,84,91.5,7686,Hospital,Cash,,EMP009,0,No
S00079,11/21/2023,P00873,37,224.3,8299.1,Clinic,Debit Card,,EMP045,0,No
S00080,9/8/2023,P00001,21,74.86,1572.06,Clinic,Debit Card,,EMP030,12.59,No
S00081,8/9/2022,P01033,18,73.84,1329.12,Hospital,Insurance,,EMP031,7.06,Yes
S00082,12/4/2022,P01988,63,62.75,3953.25,Hospital,Credit Card,,EMP048,18.16,No
S00083,10/3/2023,P01591,17,19.37,329.29,Hospital,Cash,,EMP004,0,No
S00084,4/6/2022,P00510,77,69.11,5321.47,Online,Cash,,EMP031,0,No
S00085,1/30/2023,P00910,19,43.29,822.51,Online,Credit Card,,EMP042,0,No
S00086,12/3/2022,P00063,90,114.26,10283.4,Retail,Cash,,EMP008,0,No
S00087,1/26/2022,P00731,47,100.39,4718.33,Hospital,Credit Card,,EMP025,0,No
S00088,5/31/2022,P00706,97,75.21,7295.37,Hospital,Credit Card,,EMP029,0,No
S00089,3/13/2023,P01808,79,38.21,3018.59,Hospital,Cash,,EMP025,3.55,No
S00090,8/10/2022,P00842,33,114.12,3765.96,Retail,Debit Card,,EMP011,0,No
S00091,11/26/2022,P00196,38,97.32,3698.16,Online,Cash,,EMP040,0,No
S00092,6/13/2022,P00530,99,145,14355,Hospital,Insurance,,EMP036,0,Yes
S00093,4/10/2023,P00435,97,8.59,833.23,Clinic,Insurance,,EMP014,5.49,Yes
S00094,2/13/2022,P00615,44,218.47,9612.68,Clinic,Debit Card,,EMP037,8.27,No
S00095,5/15/2022,P01398,62,39.69,2460.78,Online,Cash,,EMP029,0,No
S00096,1/16/2023,P00180,63,84.46,5320.98,Online,Credit Card,,EMP008,0,No
S00097,1/15/2022,P01072,47,134.15,6305.05,Clinic,Cash,,EMP003,0,No
S00098,3/2/2022,P00075,32,140.25,4488,Hospital,Cash,,EMP029,0,No
S00099,6/30/2022,P00246,11,53.76,591.36,Retail,Credit Card,RX-7037,EMP039,0,No
S00100,3/21/2022,P01929,52,89.05,4630.6,Clinic,Cash,,EMP030,0,No
S00101,2/7/2022,P00545,57,61.9,3528.3,Clinic,Cash,,EMP026,0,No
S00102,1/15/2022,P00130,96,16.02,1537.92,Wholesale,Cash,,EMP044,11.33,No
S00103,3/28/2023,P00950,36,116.29,4186.44,Hospital,Debit Card,,EMP004,14.42,No
S00104,3/13/2023,P00097,42,3.67,154.14,Online,Insurance,,EMP047,0,Yes
S00105,7/5/2022,P00979,14,57.1,799.4,Wholesale,Insurance,,EMP021,5.3,Yes
S00106,11/1/2023,P01285,23,247.83,5700.09,Wholesale,Debit Card,,EMP011,19.4,No
S00107,7/29/2022,P00947,70,133.05,9313.5,Retail,Credit Card,RX-5192,EMP041,12.45,No
S00108,11/12/2022,P01667,81,89.66,7262.46,Online,Cash,,EMP042,10.42,No
S00109,8/2/2022,P01523,58,20.69,1200.02,Retail,Cash,,EMP029,0,No
S00110,3/12/2023,P01483,51,93.54,4770.54,Online,Credit Card,,EMP018,0,No
S00111,1/30/2022,P00595,65,134.78,8760.7,Clinic,Cash,,EMP035,0,No
S00112,4/13/2022,P00193,2,123.9,247.8,Clinic,Credit Card,,EMP041,0,No
S00113,1/11/2023,P00994,31,86.48,2680.88,Online,Cash,,EMP044,12.55,No
S00114,1/13/2022,P00753,51,108.78,5547.78,Clinic,Debit Card,,EMP027,0,No
